# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 10 Sep 2025 03:02:37 +0200
#
# IP	number of (black)lists
#
45.221.64.242	9
78.153.140.19	9
80.82.77.202	9
80.94.93.233	9
91.224.92.79	9
92.118.39.62	9
101.36.123.102	9
193.32.162.157	9
193.46.255.33	9
193.46.255.244	9
198.23.242.50	9
1.55.33.86	8
3.132.23.201	8
50.6.7.7	8
62.193.106.227	8
78.186.133.164	8
80.82.77.33	8
80.94.93.119	8
89.97.218.142	8
91.224.92.28	8
91.224.92.32	8
91.224.92.106	8
91.224.92.108	8
92.118.39.92	8
123.30.249.49	8
141.98.10.225	8
141.98.11.34	8
146.185.182.65	8
150.241.115.7	8
162.142.125.209	8
167.94.145.96	8
167.94.146.48	8
167.94.146.51	8
167.94.146.53	8
176.65.148.27	8
181.49.50.6	8
181.112.228.11	8
193.46.255.7	8
193.46.255.20	8
193.46.255.99	8
193.46.255.103	8
193.46.255.159	8
193.46.255.217	8
198.98.53.110	8
199.45.155.111	8
201.131.212.19	8
220.80.223.144	8
1.197.78.123	7
3.130.96.91	7
3.131.215.38	7
5.101.64.6	7
5.133.94.106	7
14.29.198.130	7
14.63.196.175	7
14.63.217.28	7
27.111.32.174	7
27.128.174.164	7
27.254.192.185	7
27.254.235.13	7
34.66.72.251	7
36.67.70.198	7
36.133.64.211	7
36.255.3.203	7
37.97.226.245	7
37.204.226.204	7
38.211.193.130	7
45.12.134.181	7
45.43.33.218	7
45.55.52.23	7
45.79.181.251	7
45.118.146.109	7
45.121.147.47	7
45.132.1.172	7
45.148.10.240	7
45.149.92.4	7
45.172.152.74	7
45.175.157.53	7
46.161.50.108	7
50.148.155.106	7
51.75.194.10	7
51.77.245.237	7
51.159.54.22	7
51.161.153.48	7
58.72.32.138	7
58.222.244.226	7
61.80.179.118	7
61.190.114.203	7
64.62.197.227	7
64.227.102.57	7
66.240.223.202	7
66.240.236.109	7
68.233.116.124	7
71.6.134.234	7
71.6.199.23	7
77.83.240.47	7
80.82.77.139	7
80.94.95.15	7
80.238.225.131	7
81.133.106.57	7
81.177.101.45	7
81.192.46.45	7
85.208.253.189	7
86.54.31.32	7
86.54.31.34	7
86.54.31.38	7
87.120.191.13	7
89.248.167.131	7
91.77.163.86	7
92.27.101.99	7
93.174.95.106	7
94.181.229.254	7
95.58.255.251	7
95.85.114.218	7
95.167.225.76	7
101.126.91.34	7
102.140.97.134	7
103.10.44.105	7
103.23.198.86	7
103.23.199.87	7
103.59.95.142	7
103.77.215.153	7
103.82.240.194	7
103.88.241.252	7
103.124.100.181	7
103.143.238.207	7
103.182.132.154	7
103.188.177.46	7
103.189.234.241	7
103.233.206.154	7
103.251.93.98	7
104.168.4.151	7
107.172.78.39	7
110.39.166.75	7
115.91.91.182	7
117.91.186.55	7
118.45.205.44	7
118.128.237.197	7
119.18.55.118	7
119.18.55.217	7
119.96.174.235	7
121.52.147.5	7
122.176.122.24	7
123.59.135.110	7
125.17.108.32	7
128.199.40.226	7
128.199.95.60	7
134.209.162.179	7
138.255.157.62	7
139.59.188.13	7
142.44.247.114	7
142.93.116.14	7
147.182.194.60	7
148.153.188.246	7
152.32.210.227	7
154.205.140.34	7
154.221.27.234	7
157.10.186.119	7
159.65.143.163	7
160.20.186.237	7
160.250.134.196	7
161.49.89.39	7
162.142.125.41	7
162.142.125.112	7
162.142.125.113	7
162.142.125.115	7
162.142.125.116	7
162.142.125.118	7
162.142.125.121	7
162.142.125.126	7
162.142.125.192	7
162.142.125.194	7
162.142.125.206	7
162.142.125.215	7
165.154.168.234	7
167.94.138.34	7
167.94.138.60	7
167.94.138.183	7
167.94.146.54	7
167.94.146.55	7
167.94.146.56	7
167.94.146.60	7
167.94.146.61	7
167.94.146.62	7
167.94.146.63	7
171.244.37.103	7
172.104.11.51	7
172.105.128.11	7
176.109.80.72	7
176.235.182.73	7
177.229.197.38	7
178.176.250.39	7
179.32.33.161	7
179.33.186.151	7
180.100.217.164	7
181.2.151.236	7
181.234.34.119	7
182.93.50.90	7
185.213.164.101	7
185.213.165.65	7
185.213.165.211	7
186.13.43.140	7
187.49.152.10	7
188.18.49.50	7
189.7.17.61	7
190.129.122.185	7
190.181.25.210	7
191.242.105.133	7
192.155.90.118	7
192.155.90.220	7
193.70.87.152	7
193.106.245.20	7
194.113.236.217	7
197.5.145.102	7
197.221.185.111	7
197.243.14.52	7
198.23.174.113	7
198.46.207.98	7
198.46.249.175	7
198.98.56.205	7
199.45.154.134	7
200.109.234.38	7
200.225.246.102	7
202.51.214.99	7
203.23.199.85	7
203.55.131.3	7
203.113.174.95	7
206.42.56.228	7
206.168.34.47	7
206.168.34.60	7
206.168.34.72	7
209.146.116.172	7
210.91.73.167	7
210.114.22.126	7
211.253.10.96	7
220.117.157.183	7
221.161.235.168	7
222.107.156.227	7
223.197.186.7	7
1.194.238.81	6
1.202.223.2	6
1.214.197.163	6
1.221.66.66	6
1.223.181.84	6
1.238.106.229	6
2.59.22.234	6
3.134.148.59	6
3.137.73.221	6
3.143.33.63	6
4.150.190.180	6
5.94.195.159	6
5.198.176.28	6
5.202.105.236	6
5.249.50.65	6
5.252.54.178	6
8.219.236.93	6
12.156.67.18	6
13.233.193.140	6
14.22.89.30	6
14.29.240.154	6
14.55.144.22	6
14.63.160.31	6
14.103.64.177	6
14.103.71.220	6
14.103.73.80	6
14.103.83.66	6
14.103.86.183	6
14.103.92.40	6
14.103.104.36	6
14.103.107.221	6
14.103.112.35	6
14.103.112.100	6
14.103.114.17	6
14.103.114.136	6
14.103.114.197	6
14.103.114.199	6
14.103.114.244	6
14.103.115.117	6
